invoice_id,customer_id,invoice_date,due_date,amount,status,paid_date
AR0001,CUST5,2025-07-31,2025-08-30,40424.877840545145,open,
AR0002,CUST1,2025-08-01,2025-08-31,35633.897372562875,open,
AR0003,CUST2,2025-08-02,2025-08-09,93332.35441055533,open,
AR0004,CUST1,2025-08-03,2025-08-18,47018.554399088396,open,
AR0005,CUST1,2025-08-04,2025-08-11,74638.48145517541,open,
AR0006,CUST6,2025-08-05,2025-09-04,35872.76962090962,open,
AR0007,CUST5,2025-08-06,2025-09-20,44186.1536332312,open,
AR0008,CUST4,2025-08-07,2025-09-06,70139.26229746247,open,
AR0009,CUST3,2025-08-08,2025-09-22,52738.96815714553,open,
AR0010,CUST5,2025-08-09,2025-08-24,51903.045108983,open,
AR0011,CUST3,2025-08-10,2025-08-17,41873.69216233448,paid,2025-08-21
AR0012,CUST3,2025-08-11,2025-09-10,86207.43057401545,open,
AR0013,CUST4,2025-08-12,2025-09-11,68643.45876284095,open,
AR0014,CUST3,2025-08-13,2025-09-12,54235.925011575004,open,
AR0015,CUST1,2025-08-14,2025-09-28,68109.23818661293,open,
AR0016,CUST1,2025-08-15,2025-08-30,92542.9819374563,open,
AR0017,CUST4,2025-08-16,2025-08-23,56572.64229637163,paid,2025-08-25
AR0018,CUST3,2025-08-17,2025-09-16,86669.45309822117,open,
AR0019,CUST1,2025-08-18,2025-10-02,52825.501619364455,open,
AR0020,CUST1,2025-08-19,2025-09-03,46037.245714822515,open,
AR0021,CUST1,2025-08-20,2025-09-19,65797.51353876216,open,
AR0022,CUST2,2025-08-21,2025-08-28,30000.0,open,
AR0023,CUST5,2025-08-22,2025-08-29,43424.716759849645,paid,2025-08-31
AR0024,CUST1,2025-08-23,2025-09-07,73717.77738816765,open,
AR0025,CUST2,2025-08-24,2025-09-08,53258.65194000215,open,
AR0026,CUST4,2025-08-25,2025-09-24,65866.17802274592,open,
AR0027,CUST6,2025-08-26,2025-09-10,43116.37132452995,open,
AR0028,CUST6,2025-08-27,2025-09-26,78397.78433834744,open,
AR0029,CUST6,2025-08-28,2025-09-12,60299.37628504422,open,
AR0030,CUST6,2025-08-29,2025-09-28,61112.797027703404,open,
AR0031,CUST3,2025-08-30,2025-09-14,66897.29351519376,open,
AR0032,CUST3,2025-08-31,2025-09-15,54457.689746771706,open,
AR0033,CUST4,2025-09-01,2025-10-16,67799.1569693998,open,
AR0034,CUST6,2025-09-02,2025-09-17,78988.32875877658,open,
AR0035,CUST5,2025-09-03,2025-10-03,32792.77629616528,open,
AR0036,CUST3,2025-09-04,2025-09-11,55633.2989121816,open,
AR0037,CUST5,2025-09-05,2025-09-12,82615.2702288705,open,
AR0038,CUST3,2025-09-06,2025-09-13,61090.01155664021,open,
AR0039,CUST5,2025-09-07,2025-10-07,80286.43400017773,open,
AR0040,CUST5,2025-09-08,2025-09-15,63535.492165281765,open,
AR0041,CUST3,2025-09-09,2025-09-16,81521.00981218574,open,
AR0042,CUST6,2025-08-25,2025-09-09,216418.372926645,open,
AR0043,CUST1,2025-09-01,2025-10-01,229292.6151408135,open,
AR0044,CUST6,2025-09-08,2025-10-08,133170.47921031876,open,
AR0045,CUST2,2025-09-15,2025-10-30,185518.78597900335,open,
AR0046,CUST2,2025-09-22,2025-10-07,223932.78153843776,open,
AR0047,CUST4,2025-09-29,2025-11-13,147323.23151632922,open,
AR0048,CUST2,2025-10-06,2025-10-21,241569.45735284436,open,
AR0049,CUST3,2025-10-13,2025-10-28,183187.36984713635,open,
AR0050,CUST6,2025-10-20,2025-12-04,224351.1762859007,open,
AR0051,CUST3,2025-10-27,2025-11-11,166356.54125477935,open,
AR0052,CUST3,2025-11-03,2025-12-18,184676.6295799097,open,
AR0053,CUST4,2025-11-10,2025-12-10,242206.75120804965,open,
AR0054,CUST5,2025-08-01,2025-08-31,551158.3117349219,open,
AR0055,CUST3,2025-09-01,2025-10-16,269037.6647880302,open,
AR0056,CUST6,2025-10-01,2025-11-30,414241.5329424094,open,
