bill_id,vendor_id,vendor_tier,bill_date,due_date,amount,status,paid_date
AP001,VEND1,critical,2025-07-16,2025-07-31,65000.0,paid,2025-08-01
AP002,VEND2,regular,2025-07-19,2025-08-18,85000.0,open,
AP003,VEND3,regular,2025-07-22,2025-07-29,145000.0,open,
AP004,VEND1,critical,2025-07-25,2025-08-09,210000.0,open,
AP005,VEND2,critical,2025-07-28,2025-08-27,65000.0,open,
AP006,VEND3,regular,2025-07-31,2025-08-07,85000.0,paid,2025-08-08
AP007,VEND1,regular,2025-08-03,2025-08-18,145000.0,open,
AP008,VEND2,critical,2025-08-06,2025-09-05,210000.0,open,
AP009,VEND3,critical,2025-08-09,2025-08-16,65000.0,open,
AP010,VEND1,regular,2025-08-12,2025-08-27,85000.0,open,
AP011,VEND2,regular,2025-08-15,2025-09-14,145000.0,paid,2025-09-15
AP012,VEND3,critical,2025-08-18,2025-08-25,210000.0,open,
AP013,VEND1,critical,2025-08-21,2025-09-05,65000.0,open,
AP014,VEND2,regular,2025-08-24,2025-09-23,85000.0,open,
