date,description,counterparty_id,amount,running_balance
2025-07-16,Customer receipt,CUST3,156094.0,2756094.0
2025-07-17,Operating expense,VEND3,-29600.0,2726494.0
2025-07-19,Operating expense,VEND1,-47504.0,2678990.0
2025-07-20,Operating expense,VEND1,-49405.0,2629585.0
2025-07-22,Operating expense,VEND2,-20489.0,2609096.0
2025-07-24,Customer receipt,CUST3,123956.0,2733052.0
2025-07-25,Operating expense,VEND2,-41278.0,2691774.0
2025-07-27,Vendor payment,VEND1,-170512.0,2521262.0
2025-07-28,Operating expense,VEND3,-39831.0,2481431.0
2025-07-30,Operating expense,VEND3,-31469.0,2449962.0
2025-08-01,Customer receipt,CUST2,167587.0,2617549.0
2025-08-02,Operating expense,VEND2,-47777.0,2569772.0
2025-08-04,Operating expense,VEND2,-40660.0,2529112.0
2025-08-05,Operating expense,VEND3,-51272.0,2477840.0
2025-08-07,Vendor payment,VEND3,-194025.0,2283815.0
2025-08-09,Customer receipt,CUST2,132814.0,2416629.0
2025-08-10,Operating expense,VEND2,-43687.0,2372942.0
2025-08-12,Operating expense,VEND2,-30411.0,2342531.0
2025-08-13,Operating expense,VEND2,-48784.0,2293747.0
2025-08-15,Operating expense,VEND2,-39500.0,2254247.0
2025-08-17,Customer receipt,CUST3,146302.0,2400549.0
2025-08-18,Vendor payment,VEND2,-159572.0,2240977.0
2025-08-20,Operating expense,VEND1,-52225.0,2188752.0
2025-08-21,Operating expense,VEND2,-38454.0,2150298.0
2025-08-23,Operating expense,VEND1,-35716.0,2114582.0
2025-08-25,Customer receipt,CUST2,142957.0,2257539.0
2025-08-26,Operating expense,VEND3,-45323.0,2212216.0
2025-08-28,Operating expense,VEND3,-43654.0,2168562.0
